Bos-MacBook-Pro:newCRF bozheng$ crf_learn -f 3 -p 4 templatetest.txt training2.data resultmodel
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data:
Done!9.96 s

Number of sentences: 1
Number of features:  20694
Number of thread(s): 4
Freq:                3
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=250 terr=0.00203 serr=1.00000 act=20694 obj=172.32626 diff=0.00945
iter=251 terr=0.00283 serr=1.00000 act=20694 obj=172.71326 diff=0.00225
iter=252 terr=0.00289 serr=1.00000 act=20694 obj=170.74474 diff=0.01140
iter=253 terr=0.00197 serr=1.00000 act=20694 obj=167.60359 diff=0.01840
iter=254 terr=0.00352 serr=1.00000 act=20694 obj=165.54582 diff=0.01228
iter=255 terr=0.00197 serr=1.00000 act=20694 obj=164.46671 diff=0.00652
iter=256 terr=0.00197 serr=1.00000 act=20694 obj=164.38515 diff=0.00050
iter=257 terr=0.00197 serr=1.00000 act=20694 obj=164.02502 diff=0.00219
iter=258 terr=0.00223 serr=1.00000 act=20694 obj=163.34198 diff=0.00416
iter=259 terr=0.00163 serr=1.00000 act=20694 obj=162.57837 diff=0.00467
iter=260 terr=0.00163 serr=1.00000 act=20694 obj=162.23141 diff=0.00213
iter=261 terr=0.00483 serr=1.00000 act=20694 obj=163.48716 diff=0.00774
iter=262 terr=0.00163 serr=1.00000 act=20694 obj=162.18366 diff=0.00797
iter=263 terr=0.00163 serr=1.00000 act=20694 obj=162.07316 diff=0.00068
iter=264 terr=0.00149 serr=1.00000 act=20694 obj=160.63185 diff=0.00889
iter=265 terr=0.00137 serr=1.00000 act=20694 obj=156.37803 diff=0.02648
iter=266 terr=0.00134 serr=1.00000 act=20694 obj=153.26732 diff=0.01989
iter=267 terr=0.00129 serr=1.00000 act=20694 obj=151.68856 diff=0.01030
iter=268 terr=0.00349 serr=1.00000 act=20694 obj=155.11499 diff=0.02259
iter=269 terr=0.00134 serr=1.00000 act=20694 obj=151.64767 diff=0.02235
iter=270 terr=0.00134 serr=1.00000 act=20694 obj=151.53448 diff=0.00075
iter=271 terr=0.00134 serr=1.00000 act=20694 obj=151.35610 diff=0.00118
iter=272 terr=0.00177 serr=1.00000 act=20694 obj=149.68717 diff=0.01103
iter=273 terr=0.00183 serr=1.00000 act=20694 obj=148.09986 diff=0.01060
iter=274 terr=0.00177 serr=1.00000 act=20694 obj=147.88490 diff=0.00145
iter=275 terr=0.00183 serr=1.00000 act=20694 obj=147.62325 diff=0.00177
iter=276 terr=0.00183 serr=1.00000 act=20694 obj=145.42123 diff=0.01492
